"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C9 H16 O3",171.1028276,"O3","CHO","Protein",9,16,3,0,0,0,1.78,1.78,2,0.0667,-1.1111,91.96635
"C10 H20 O2",171.1392084,"O2","CHO","Lipid",10,20,2,0,0,0,2,2,1,0,-1.6,105.9
"C10 H7 O2 N1",172.0405549,"N1 O2","CHON","Cond Hydrocarbon",10,7,2,1,0,0,0.7,0.7,8,0.75,0,60.3
"C7 H11 O4 N1",172.0616879,"N1 O4","CHON","Amino Sugar",7,11,4,1,0,0,1.57,1.57,3,0,0,60.3
"C8 H15 O3 N1",172.0980741,"N1 O3","CHON","Protein",8,15,3,1,0,0,1.88,1.88,2,-0.0909,-0.75,81.675
"C7 H10 O5",173.0457127,"O5","CHO","Other",7,10,5,0,0,0,1.43,1.43,3,0.1111,0,60.3
"C8 H14 O4",173.0821029,"O4","CHO","Protein",8,14,4,0,0,0,1.75,1.75,2,0,-0.75,81.675
"C9 H18 O3",173.1184763,"O3","CHO","Protein",9,18,3,0,0,0,2,2,1,-0.0667,-1.3333,98.29905
"C10 H9 O2 N1",174.056206,"N1 O2","CHON","Other",10,9,2,1,0,0,0.9,0.9,7,0.625,-0.2,66
"C6 H8 O6",175.0249774,"O6","CHO","Other",6,8,6,0,0,0,1.33,1.33,3,0,0.6667,41.29905
"C7 H12 O5",175.0613569,"O5","CHO","Carbohydrate",7,12,5,0,0,0,1.71,1.71,2,-0.1111,-0.2857,68.44245
"C8 H16 O4",175.0977479,"O4","CHO","Protein",8,16,4,0,0,0,2,2,1,-0.1667,-1,88.8
"C6 H11 O5 N1",176.0565982,"N1 O5","CHON","Carbohydrate",6,11,5,1,0,0,1.83,1.83,2,-0.6,0.3333,50.80095
"C9 H6 O4",177.0194955,"O4","CHO","Cond Hydrocarbon",9,6,4,0,0,0,0.67,0.67,7,0.7143,0.2222,53.9673
"C10 H10 O3",177.0558899,"O3","CHO","Lignin",10,10,3,0,0,0,1,1,6,0.5294,-0.4,71.7
"C11 H14 O2",177.0922636,"O2","CHO","Other",11,14,2,0,0,0,1.27,1.27,5,0.4,-0.9091,86.20935
"C10 H13 O2 N1",178.0875287,"N1 O2","CHON","Other",10,13,2,1,0,0,1.3,1.3,5,0.375,-0.6,77.4
"C9 H8 O4",179.0351517,"O4","CHO","Lignin",9,8,4,0,0,0,0.89,0.89,6,0.5714,0,60.3
"C10 H12 O3",179.0715422,"O3","CHO","Lignin",10,12,3,0,0,0,1.2,1.2,5,0.4118,-0.6,77.4
"C5 H11 O4 N1 S1",180.0337721,"N1 S1 O4","CHONS","Other",5,11,4,1,1,0,2.2,2.2,1,-3,0.4,48.9
"C4 H6 O4 S2",180.9636519,"S2 O4","CHOS","Carbohydrate",4,6,4,0,2,0,1.5,1.5,2,0,1.5,17.55
"C8 H6 O5",181.0144198,"O5","CHO","Cond Hydrocarbon",8,6,5,0,0,0,0.75,0.75,6,0.6364,0.5,46.05
"C9 H10 O4",181.0507981,"O4","CHO","Lignin",9,10,4,0,0,0,1.11,1.11,5,0.4286,-0.2222,66.6327
"C6 H14 O6",181.0719254,"O6","CHO","Other",6,14,6,0,0,0,2.33,2.33,0,-1,-0.3333,69.79905
"C10 H14 O3",181.0871872,"O3","CHO","Lignin",10,14,3,0,0,0,1.4,1.4,4,0.2941,-0.8,83.1
"C7 H5 O3 N1 S1",181.9918991,"N1 S1 O3","CHONS","Cond Hydrocarbon",7,5,3,1,1,0,0.71,0.71,6,0.7143,0.8571,35.87265
"C8 H9 O4 N1",182.0460365,"N1 O4","CHON","Lignin",8,9,4,1,0,0,1.12,1.12,5,0.4,0.25,53.175
"C8 H8 O5",183.030063,"O5","CHO","Lignin",8,8,5,0,0,0,1,1,5,0.4545,0.25,53.175
"C9 H12 O4",183.0664472,"O4","CHO","Lignin",9,12,4,0,0,0,1.33,1.33,4,0.2857,-0.4444,72.9654
"C10 H16 O3",183.1028351,"O3","CHO","Lipid",10,16,3,0,0,0,1.6,1.6,3,0.1765,-1,88.8
"C11 H20 O2",183.1392242,"O2","CHO","Lipid",11,20,2,0,0,0,1.82,1.82,2,0.1,-1.4545,101.75325
"C8 H11 O4 N1",184.0617053,"N1 O4","CHON","Lignin",8,11,4,1,0,0,1.38,1.38,4,0.2,0,60.3
"C8 H10 O3 S1",185.0279545,"S1 O3","CHOS","Lignin",8,10,3,0,1,0,1.25,1.25,4,0.2727,-0.25,67.425
"C8 H10 O5",185.0457193,"O5","CHO","Lignin",8,10,5,0,0,0,1.25,1.25,4,0.2727,0,60.3
"C9 H14 O4",185.082102,"O4","CHO","Protein",9,14,4,0,0,0,1.56,1.56,3,0.1429,-0.6667,79.30095
"C10 H18 O3",185.118485,"O3","CHO","Lipid",10,18,3,0,0,0,1.8,1.8,2,0.0588,-1.2,94.5
"C11 H22 O2",185.1548655,"O2","CHO","Lipid",11,22,2,0,0,0,2,2,1,0,-1.6364,106.9374
"C8 H13 O4 N1",186.0773593,"N1 O4","CHON","Protein",8,13,4,1,0,0,1.62,1.62,3,0,-0.25,67.425
"C9 H17 O3 N1",186.1137486,"N1 O3","CHON","Protein",9,17,3,1,0,0,1.89,1.89,2,-0.0769,-0.8889,85.63365
"C5 H5 O2 N2 P1 S1",186.9737384,"N2 S1 P1 O2","CHO","Lignin",5,5,2,2,1,1,1,1,5,0,1.4,20.4
"C8 H12 O5",187.0613747,"O5","CHO","Amino Sugar",8,12,5,0,0,0,1.5,1.5,3,0.0909,-0.25,67.425
"C9 H16 O4",187.0977593,"O4","CHO","Protein",9,16,4,0,0,0,1.78,1.78,2,0,-0.8889,85.63365
"C8 H16 O3 N2",187.1089975,"N2 O3","CHON","Protein",8,16,3,2,0,0,2,2,2,-0.3333,-0.5,74.55
"C13 H16 O1",187.1130081,"O1","CHO","Unsat Hydrocarbon",13,16,1,0,0,0,1.23,1.23,6,0.44,-1.0769,90.99165
"C10 H20 O3",187.1341449,"O3","CHO","Lipid",10,20,3,0,0,0,2,2,1,-0.0588,-1.4,100.2
"C10 H7 O3 N1",188.0354918,"N1 O3","CHON","Cond Hydrocarbon",10,7,3,1,0,0,0.7,0.7,8,0.7333,0.2,54.6
"C8 H15 O4 N1",188.0930093,"N1 O4","CHON","Protein",8,15,4,1,0,0,1.88,1.88,2,-0.2,-0.5,74.55
"C7 H10 O6",189.0406432,"O6","CHO","Other",7,10,6,0,0,0,1.43,1.43,3,0,0.2857,52.15755
"C8 H14 O5",189.0770296,"O5","CHO","Amino Sugar",8,14,5,0,0,0,1.75,1.75,2,-0.0909,-0.5,74.55
"C9 H18 O4",189.1134142,"O4","CHO","Protein",9,18,4,0,0,0,2,2,1,-0.1429,-1.1111,91.96635
"C7 H13 O5 N1",190.072275,"N1 O5","CHON","Carbohydrate",7,13,5,1,0,0,1.86,1.86,2,-0.4286,0,60.3
"C10 H8 O4",191.0351565,"O4","CHO","Cond Hydrocarbon",10,8,4,0,0,0,0.8,0.8,7,0.625,0,60.3
"C11 H12 O3",191.0715366,"O3","CHO","Other",11,12,3,0,0,0,1.09,1.09,6,0.4737,-0.5455,75.84675
"C12 H16 O2",191.1079092,"O2","CHO","Other",12,16,2,0,0,0,1.33,1.33,5,0.3636,-1,88.8
"C9 H6 O5",193.0143992,"O5","CHO","Cond Hydrocarbon",9,6,5,0,0,0,0.67,0.67,7,0.6923,0.4444,47.6346
"C10 H10 O4",193.0507986,"O4","CHO","Lignin",10,10,4,0,0,0,1,1,6,0.5,-0.2,66
"C11 H14 O3",193.0871913,"O3","CHO","Other",11,14,3,0,0,0,1.27,1.27,5,0.3684,-0.7273,81.02805
"C8 H18 O3 S1",193.0905605,"S1 O3","CHOS","Other",8,18,3,0,1,0,2.25,2.25,0,-0.4545,-1.25,95.925
"C10 H13 O3 N1",194.0824362,"N1 O3","CHON","Lignin",10,13,3,1,0,0,1.3,1.3,5,0.3333,-0.4,71.7
"C9 H8 O5",195.0300644,"O5","CHO","Lignin",9,8,5,0,0,0,0.89,0.89,6,0.5385,0.2222,53.9673
"C10 H12 O4",195.0664467,"O4","CHO","Lignin",10,12,4,0,0,0,1.2,1.2,5,0.375,-0.4,71.7
"C11 H16 O3",195.1028456,"O3","CHO","Other",11,16,3,0,0,0,1.45,1.45,4,0.2632,-0.9091,86.20935
"C12 H20 O2",195.1392301,"O2","CHO","Lipid",12,20,2,0,0,0,1.67,1.67,3,0.1818,-1.3333,98.29905
"C5 H11 O3 N1 S2",196.010934,"N1 S2 O3","CHONS","Other",5,11,3,1,2,0,2.2,2.2,1,-7,0.4,48.9
"C9 H11 O4 N1",196.0617254,"N1 O4","CHON","Lignin",9,11,4,1,0,0,1.22,1.22,5,0.3333,0,60.3
"C9 H10 O5",197.0457326,"O5","CHO","Lignin",9,10,5,0,0,0,1.11,1.11,5,0.3846,0,60.3
"C10 H14 O4",197.0821123,"O4","CHO","Lignin",10,14,4,0,0,0,1.4,1.4,4,0.25,-0.6,77.4
"C11 H18 O3",197.1185011,"O3","CHO","Lipid",11,18,3,0,0,0,1.64,1.64,3,0.1579,-1.0909,91.39065
"C12 H22 O2",197.1548786,"O2","CHO","Lipid",12,22,2,0,0,0,1.83,1.83,2,0.0909,-1.5,103.05
"C9 H13 O4 N1",198.0773711,"N1 O4","CHON","Lignin",9,13,4,1,0,0,1.44,1.44,4,0.1667,-0.2222,66.6327
"C8 H8 O4 S1",199.0072257,"S1 O4","CHOS","Lignin",8,8,4,0,1,0,1,1,5,0.4,0.25,53.175
"C8 H8 O6",199.0249997,"O6","CHO","Tannin",8,8,6,0,0,0,1,1,5,0.4,0.5,46.05
"C9 H12 O5",199.0613805,"O5","CHO","Lignin",9,12,5,0,0,0,1.33,1.33,4,0.2308,-0.2222,66.6327
"C10 H16 O4",199.0977586,"O4","CHO","Protein",10,16,4,0,0,0,1.6,1.6,3,0.125,-0.8,83.1
"C11 H20 O3",199.1341391,"O3","CHO","Lipid",11,20,3,0,0,0,1.82,1.82,2,0.0526,-1.2727,96.57195
"C12 H24 O2",199.170521,"O2","CHO","Lipid",12,24,2,0,0,0,2,2,1,0,-1.6667,107.80095
"C9 H15 O4 N1",200.0930178,"N1 O4","CHON","Protein",9,15,4,1,0,0,1.67,1.67,3,0,-0.4444,72.9654
"C10 H19 O3 N1",200.1293967,"N1 O3","CHON","Lipid",10,19,3,1,0,0,1.9,1.9,2,-0.0667,-1,88.8
"C6 H7 O2 N2 P1 S1",200.9894026,"N2 S1 P1 O2","CHO","Lignin",6,7,2,2,1,1,1.17,1.17,5,0,0.8333,36.55095
"C8 H10 O6",201.0406279,"O6","CHO","Tannin",8,10,6,0,0,0,1.25,1.25,4,0.2,0.25,53.175
"C9 H14 O5",201.0770194,"O5","CHO","Amino Sugar",9,14,5,0,0,0,1.56,1.56,3,0.0769,-0.4444,72.9654
"C10 H18 O4",201.1134111,"O4","CHO","Protein",10,18,4,0,0,0,1.8,1.8,2,0,-1,88.8
"C11 H22 O3",201.1498023,"O3","CHO","Lipid",11,22,3,0,0,0,2,2,1,-0.0526,-1.4545,101.75325
"C8 H13 O5 N1",202.0722852,"N1 O5","CHON","Amino Sugar",8,13,5,1,0,0,1.62,1.62,3,-0.1111,0,60.3
"C9 H17 O4 N1",202.108648,"N1 O4","CHON","Protein",9,17,4,1,0,0,1.89,1.89,2,-0.1667,-0.6667,79.30095
"C8 H12 O6",203.0562902,"O6","CHO","Carbohydrate",8,12,6,0,0,0,1.5,1.5,3,0,0,60.3
"C12 H12 O3",203.0715508,"O3","CHO","Other",12,12,3,0,0,0,1,1,7,0.5238,-0.5,74.55
"C11 H12 O2 N2",203.0827578,"N2 O2","CHON","Other",11,12,2,2,0,0,1.09,1.09,7,0.5,-0.1818,65.4813
"C9 H16 O5",203.0926687,"O5","CHO","Amino Sugar",9,16,5,0,0,0,1.78,1.78,2,-0.0769,-0.6667,79.30095
"C10 H20 O4",203.1290534,"O4","CHO","Protein",10,20,4,0,0,0,2,2,1,-0.125,-1.2,94.5
"C11 H11 O3 N1",204.0668137,"N1 O3","CHON","Other",11,11,3,1,0,0,1,1,7,0.5294,-0.1818,65.4813
"C11 H10 O4",205.0508162,"O4","CHO","Lignin",11,10,4,0,0,0,0.91,0.91,7,0.5556,-0.1818,65.4813
"C8 H14 O6",205.0719406,"O6","CHO","Carbohydrate",8,14,6,0,0,0,1.75,1.75,2,-0.2,-0.25,67.425
"C12 H14 O3",205.0872125,"O3","CHO","Other",12,14,3,0,0,0,1.17,1.17,6,0.4286,-0.6667,79.30095
"C9 H18 O5",205.1083248,"O5","CHO","Other",9,18,5,0,0,0,2,2,1,-0.2308,-0.8889,85.63365
"C14 H22 O1",205.1599643,"O1","CHO","Lipid",14,22,1,0,0,0,1.57,1.57,4,0.2593,-1.4286,101.0151
"C10 H8 O3 S1",207.0123131,"S1 O3","CHOS","Cond Hydrocarbon",10,8,3,0,1,0,0.8,0.8,7,0.6,0,60.3
"C10 H8 O5",207.0300861,"O5","CHO","Cond Hydrocarbon",10,8,5,0,0,0,0.8,0.8,7,0.6,0.2,54.6
"C11 H12 O4",207.0664652,"O4","CHO","Lignin",11,12,4,0,0,0,1.09,1.09,6,0.4444,-0.3636,70.6626
"C8 H16 O6",207.0875912,"O6","CHO","Carbohydrate",8,16,6,0,0,0,2,2,1,-0.4,-0.5,74.55
"C12 H16 O3",207.102846,"O3","CHO","Other",12,16,3,0,0,0,1.33,1.33,5,0.3333,-0.8333,84.04905
"C13 H20 O2",207.1392336,"O2","CHO","Other",13,20,2,0,0,0,1.54,1.54,4,0.25,-1.2308,95.3778
"C10 H11 O4 N1",208.0616889,"N1 O4","CHON","Lignin",10,11,4,1,0,0,1.1,1.1,6,0.4286,0,60.3
"C7 H15 O6 N1",208.0828786,"N1 O6","CHON","Carbohydrate",7,15,6,1,0,0,2.14,2.14,1,-1,0,60.3
"C9 H6 O6",209.0093457,"O6","CHO","Cond Hydrocarbon",9,6,6,0,0,0,0.67,0.67,7,0.6667,0.6667,41.29905
"C10 H10 O5",209.0457234,"O5","CHO","Lignin",10,10,5,0,0,0,1,1,6,0.4667,0,60.3
"C7 H14 O5 S1",209.0490983,"S1 O5","CHOS","Carbohydrate",7,14,5,0,1,0,2,2,1,-0.7143,-0.2857,68.44245
"C11 H14 O4",209.0821204,"O4","CHO","Lignin",11,14,4,0,0,0,1.27,1.27,5,0.3333,-0.5455,75.84675
"C8 H18 O4 S1",209.0854912,"S1 O4","CHOS","Other",8,18,4,0,1,0,2.25,2.25,0,-0.6,-1,88.8
"C12 H18 O3",209.1184859,"O3","CHO","Other",12,18,3,0,0,0,1.5,1.5,4,0.2381,-1,88.8
"C13 H22 O2",209.1548806,"O2","CHO","Lipid",13,22,2,0,0,0,1.69,1.69,3,0.1667,-1.3846,99.7611
"C9 H9 O5 N1",210.0409782,"N1 O5","CHON","Lignin",9,9,5,1,0,0,1,1,6,0.4545,0.4444,47.6346
"C10 H13 O4 N1",210.0773651,"N1 O4","CHON","Lignin",10,13,4,1,0,0,1.3,1.3,5,0.2857,-0.2,66
"C9 H8 O6",211.0249967,"O6","CHO","Tannin",9,8,6,0,0,0,0.89,0.89,6,0.5,0.4444,47.6346
"C10 H12 O5",211.0613727,"O5","CHO","Lignin",10,12,5,0,0,0,1.2,1.2,5,0.3333,-0.2,66
"C11 H16 O4",211.0977583,"O4","CHO","Protein",11,16,4,0,0,0,1.45,1.45,4,0.2222,-0.7273,81.02805
"C12 H20 O3",211.1341577,"O3","CHO","Lipid",12,20,3,0,0,0,1.67,1.67,3,0.1429,-1.1667,93.55095
"C9 H11 O5 N1",212.0566428,"N1 O5","CHON","Lignin",9,11,5,1,0,0,1.22,1.22,5,0.2727,0.2222,53.9673
"C10 H15 O4 N1",212.0930144,"N1 O4","CHON","Protein",10,15,4,1,0,0,1.5,1.5,4,0.1429,-0.4,71.7
"C7 H6 O6 N2",213.0154709,"N2 O6","CHON","Tannin",7,6,6,2,0,0,0.86,0.86,6,0.5,1.7143,11.44245
"C9 H10 O4 S1",213.022882,"S1 O4","CHOS","Lignin",9,10,4,0,1,0,1.11,1.11,5,0.3333,0,60.3
"C9 H10 O6",213.0406573,"O6","CHO","Tannin",9,10,6,0,0,0,1.11,1.11,5,0.3333,0.2222,53.9673
"C10 H14 O5",213.0770293,"O5","CHO","Lignin",10,14,5,0,0,0,1.4,1.4,4,0.2,-0.4,71.7
"C11 H18 O4",213.113409,"O4","CHO","Protein",11,18,4,0,0,0,1.64,1.64,3,0.1111,-0.9091,86.20935
"C12 H22 O3",213.1498064,"O3","CHO","Lipid",12,22,3,0,0,0,1.83,1.83,2,0.0476,-1.3333,98.29905
"C13 H26 O2",213.186188,"O2","CHO","Lipid",13,26,2,0,0,0,2,2,1,0,-1.6923,108.53055
"C7 H5 O3 N1 S2",213.9639863,"N1 S2 O3","CHONS","Cond Hydrocarbon",7,5,3,1,2,0,0.71,0.71,6,0.6,1.1429,27.72735
"C9 H13 O5 N1",214.0722838,"N1 O5","CHON","Lignin",9,13,5,1,0,0,1.44,1.44,4,0.0909,0,60.3
"C10 H17 O4 N1",214.1086645,"N1 O4","CHON","Protein",10,17,4,1,0,0,1.7,1.7,3,0,-0.6,77.4
"C11 H21 O3 N1",214.1450617,"N1 O3","CHON","Lipid",11,21,3,1,0,0,1.91,1.91,2,-0.0588,-1.0909,91.39065
"C8 H8 O5 S1",215.0021672,"S1 O5","CHOS","Lignin",8,8,5,0,1,0,1,1,5,0.3333,0.5,46.05
"C7 H9 O2 N2 P1 S1",215.0050753,"N2 S1 P1 O2","CHO","Lignin",7,9,2,2,1,1,1.29,1.29,5,0,0.4286,48.0849
"C9 H12 O6",215.0563071,"O6","CHO","Other",9,12,6,0,0,0,1.33,1.33,4,0.1667,0,60.3
"C13 H12 O3",215.0715538,"O3","CHO","Other",13,12,3,0,0,0,0.92,0.92,8,0.5652,-0.4615,73.45275
"C10 H16 O5",215.0926819,"O5","CHO","Protein",10,16,5,0,0,0,1.6,1.6,3,0.0667,-0.6,77.4
