"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C17 H17 O8 N1",362.0884349,"N1 O8","CHON","Lignin",17,17,8,1,0,0,1,1,10,0.4167,0.1176,56.9484
"C14 H21 O10 N1",362.1095738,"N1 O10","CHON","Carbohydrate",14,21,10,1,0,0,1.5,1.5,5,-0.125,0.1429,56.22735
"C18 H21 O7 N1",362.1248067,"N1 O7","CHON","Lignin",18,21,7,1,0,0,1.17,1.17,9,0.3333,-0.2222,66.6327
"C15 H25 O9 N1",362.1459523,"N1 O9","CHON","Amino Sugar",15,25,9,1,0,0,1.67,1.67,4,-0.1579,-0.2667,67.90095
"C14 H25 O8 N3",362.1572178,"N3 O8","CHON","Amino Sugar",14,25,8,3,0,0,1.79,1.79,4,-0.4286,0,60.3
"C18 H25 O5 N3",362.1724421,"N3 O5","CHON","Other",18,25,5,3,0,0,1.39,1.39,8,0.2,-0.3333,69.79905
"C16 H29 O8 N1",362.1823616,"N1 O8","CHON","Protein",16,29,8,1,0,0,1.81,1.81,3,-0.1818,-0.625,78.1125
"C15 H30 O5 N3 P1",362.1854792,"N3 P1 O5","CHONP","Protein",15,30,5,3,0,1,2,2,3,-0.4118,-0.7333,81.19905
"C17 H34 O5 N1 P1",362.2106232,"N1 P1 O5","CHONP","Lipid",17,34,5,1,0,1,2,2,2,-0.2,-1.2353,95.50605
"C17 H33 O7 N1",362.2187198,"N1 O7","CHON","Protein",17,33,7,1,0,0,1.94,1.94,2,-0.2,-0.9412,87.1242
"C19 H41 O5 N1",362.2915157,"N1 O5","CHON","Lipid",19,41,5,1,0,0,2.16,2.16,0,-0.2258,-1.4737,102.30045
"C10 H20 O10 S2",363.042647,"S2 O10","CHOS","Carbohydrate",10,20,10,0,2,0,2,2,1,-2,0.4,48.9
"C11 H25 O7 P1 S2",363.071063,"S2 P1 O7","CHO","Other",11,25,7,0,2,1,2.27,2.27,0,-1.4444,-0.6364,78.4374
"C17 H16 O9",363.0724274,"O9","CHO","Lignin",17,16,9,0,0,0,0.94,0.94,10,0.44,0.1176,56.9484
"C14 H20 O9 S1",363.0758042,"S1 O9","CHOS","Lignin",14,20,9,0,1,0,1.43,1.43,5,-0.0588,0,60.3
"C14 H21 O9 P1",363.0854948,"P1 O9","CHOP","Amino Sugar",14,21,9,0,0,1,1.5,1.5,5,-0.0588,-0.2143,66.40755
"C14 H20 O11",363.0935672,"O11","CHO","Other",14,20,11,0,0,0,1.43,1.43,5,-0.0588,0.1429,56.22735
"C18 H20 O8",363.1088218,"O8","CHO","Lignin",18,20,8,0,0,0,1.11,1.11,9,0.3571,-0.2222,66.6327
"C17 H20 O7 N2",363.1200604,"N2 O7","CHON","Lignin",17,20,7,2,0,0,1.18,1.18,9,0.3043,0,60.3
"C15 H25 O8 P1",363.1218851,"P1 O8","CHOP","Protein",15,25,8,0,0,1,1.67,1.67,4,-0.1,-0.6,77.4
"C15 H24 O10",363.1299468,"O10","CHO","Amino Sugar",15,24,10,0,0,0,1.6,1.6,4,-0.1,-0.2667,67.90095
"C14 H25 O7 N2 P1",363.1331241,"N2 P1 O7","CHONP","Protein",14,25,7,2,0,1,1.79,1.79,4,-0.3333,-0.3571,70.47735
"C19 H24 O7",363.1452193,"O7","CHO","Lignin",19,24,7,0,0,0,1.26,1.26,8,0.2903,-0.5263,75.29955
"C18 H24 O6 N2",363.1564982,"N2 O6","CHON","Lignin",18,24,6,2,0,0,1.33,1.33,8,0.2308,-0.3333,69.79905
"C16 H28 O9",363.1663397,"O9","CHO","Amino Sugar",16,28,9,0,0,0,1.75,1.75,3,-0.1304,-0.625,78.1125
"C20 H28 O6",363.1816103,"O6","CHO","Lignin",20,28,6,0,0,0,1.4,1.4,7,0.2353,-0.8,83.1
"C17 H32 O8",363.2027482,"O8","CHO","Protein",17,32,8,0,0,0,1.88,1.88,2,-0.1538,-0.9412,87.1242
"C19 H41 O4 P1",363.2674217,"P1 O4","CHOP","Lipid",19,41,4,0,0,1,2.16,2.16,0,-0.1875,-1.7368,109.7988
"C13 H19 O11 N1",364.088858,"N1 O11","CHON","Other",13,19,11,1,0,0,1.46,1.46,5,-0.2308,0.4615,47.14725
"C17 H19 O8 N1",364.104059,"N1 O8","CHON","Lignin",17,19,8,1,0,0,1.12,1.12,9,0.3333,0,60.3
"C14 H24 O8 N1 P1",364.1171197,"N1 P1 O8","CHONP","Amino Sugar",14,24,8,1,0,1,1.71,1.71,4,-0.25,-0.3571,70.47735
"C14 H23 O10 N1",364.1252305,"N1 O10","CHON","Carbohydrate",14,23,10,1,0,0,1.64,1.64,4,-0.25,0,60.3
"C18 H23 O7 N1",364.140467,"N1 O7","CHON","Lignin",18,23,7,1,0,0,1.28,1.28,8,0.2593,-0.3333,69.79905
"C17 H23 O6 N3",364.151691,"N3 O6","CHON","Lignin",17,23,6,3,0,0,1.35,1.35,8,0.1818,-0.1176,63.6516
"C15 H27 O9 N1",364.1616281,"N1 O9","CHON","Amino Sugar",15,27,9,1,0,0,1.8,1.8,3,-0.2632,-0.4,71.7
"C14 H28 O6 N3 P1",364.1647321,"N3 P1 O6","CHONP","Protein",14,28,6,3,0,1,2,2,3,-0.5714,-0.5,74.55
"C16 H31 O8 N1",364.1980245,"N1 O8","CHON","Protein",16,31,8,1,0,0,1.94,1.94,2,-0.2727,-0.75,81.675
"C17 H36 O5 N1 P1",364.2262851,"N1 P1 O5","CHONP","Lipid",17,36,5,1,0,1,2.12,2.12,1,-0.28,-1.3529,98.85765
"C17 H35 O7 N1",364.2344002,"N1 O7","CHON","Other",17,35,7,1,0,0,2.06,2.06,1,-0.28,-1.0588,90.4758
"C16 H14 O10",365.0517027,"O10","CHO","Lignin",16,14,10,0,0,0,0.88,0.88,10,0.4545,0.375,49.6125
"C17 H18 O9",365.0880889,"O9","CHO","Lignin",17,18,9,0,0,0,1.06,1.06,9,0.36,0,60.3
"C16 H18 O8 N2",365.099334,"N2 O8","CHON","Lignin",16,18,8,2,0,0,1.12,1.12,9,0.3,0.25,53.175
"C14 H23 O9 P1",365.1011469,"P1 O9","CHOP","Amino Sugar",14,23,9,0,0,1,1.64,1.64,4,-0.1765,-0.3571,70.47735
"C13 H22 O10 N2",365.1204874,"N2 O10","CHON","Carbohydrate",13,22,10,2,0,0,1.69,1.69,4,-0.5,0.3077,51.53055
"C18 H22 O8",365.1244713,"O8","CHO","Lignin",18,22,8,0,0,0,1.22,1.22,8,0.2857,-0.3333,69.79905
"C17 H22 O7 N2",365.1357113,"N2 O7","CHON","Lignin",17,22,7,2,0,0,1.29,1.29,8,0.2174,-0.1176,63.6516
"C15 H27 O8 P1",365.1375317,"P1 O8","CHOP","Protein",15,27,8,0,0,1,1.8,1.8,3,-0.2,-0.7333,81.19905
"C15 H26 O10",365.145564,"O10","CHO","Amino Sugar",15,26,10,0,0,0,1.73,1.73,3,-0.2,-0.4,71.7
"C14 H27 O7 N2 P1",365.1487683,"N2 P1 O7","CHONP","Protein",14,27,7,2,0,1,1.93,1.93,3,-0.4667,-0.5,74.55
"C19 H27 O5 P1",365.152781,"P1 O5","CHOP","Other",19,27,5,0,0,1,1.42,1.42,7,0.2258,-0.8947,85.79895
"C19 H26 O7",365.160856,"O7","CHO","Lignin",19,26,7,0,0,0,1.37,1.37,7,0.2258,-0.6316,78.3006
"C16 H31 O7 P1",365.1739151,"P1 O7","CHOP","Protein",16,31,7,0,0,1,1.94,1.94,2,-0.2174,-1.0625,90.58125
"C20 H30 O6",365.1972383,"O6","CHO","Protein",20,30,6,0,0,0,1.5,1.5,6,0.1765,-0.9,85.95
"C17 H35 O6 P1",365.2103071,"P1 O6","CHOP","Other",17,35,6,0,0,1,2.06,2.06,1,-0.2308,-1.3529,98.85765
"C18 H38 O5 S1",365.2370329,"S1 O5","CHOS","Lipid",18,38,5,0,1,0,2.11,2.11,0,-0.2414,-1.4444,101.4654
"C18 H39 O5 P1",365.2467003,"P1 O5","CHOP","Lipid",18,39,5,0,0,1,2.17,2.17,0,-0.2414,-1.6111,106.21635
"C16 H17 O9 N1",366.0833504,"N1 O9","CHON","Lignin",16,17,9,1,0,0,1.06,1.06,9,0.3333,0.25,53.175
"C13 H22 O9 N1 P1",366.0963877,"N1 P1 O9","CHONP","Carbohydrate",13,22,9,1,0,1,1.69,1.69,4,-0.3846,-0.0769,62.49165
"C20 H17 O6 N1",366.0986413,"N1 O6","CHON","Lignin",20,17,6,1,0,0,0.85,0.85,13,0.5625,-0.1,63.15
"C13 H21 O11 N1",366.104519,"N1 O11","CHON","Carbohydrate",13,21,11,1,0,0,1.62,1.62,4,-0.3846,0.3077,51.53055
"C17 H21 O8 N1",366.1196972,"N1 O8","CHON","Lignin",17,21,8,1,0,0,1.24,1.24,8,0.25,-0.1176,63.6516
"C14 H26 O8 N1 P1",366.1327898,"N1 P1 O8","CHONP","Other",14,26,8,1,0,1,1.86,1.86,3,-0.375,-0.5,74.55
"C14 H25 O10 N1",366.1408957,"N1 O10","CHON","Carbohydrate",14,25,10,1,0,0,1.79,1.79,3,-0.375,-0.1429,64.37265
"C18 H25 O7 N1",366.156135,"N1 O7","CHON","Lignin",18,25,7,1,0,0,1.39,1.39,7,0.1852,-0.4444,72.9654
"C15 H29 O9 N1",366.1772716,"N1 O9","CHON","Other",15,29,9,1,0,0,1.93,1.93,2,-0.3684,-0.5333,75.49905
"C16 H33 O8 N1",366.2136438,"N1 O8","CHON","Other",16,33,8,1,0,0,2.06,2.06,1,-0.3636,-0.875,85.2375
"C17 H37 O7 N1",366.250044,"N1 O7","CHON","Other",17,37,7,1,0,0,2.18,2.18,0,-0.36,-1.1765,93.83025
"C9 H5 O10 P1 S2",366.8991084,"S2 P1 O10","CHO","Other",9,5,10,0,2,1,0.56,0.56,8,0,2.1111,0.133649999999996
"C16 H17 O8 P1",367.0591911,"P1 O8","CHOP","Lignin",16,17,8,0,0,1,1.06,1.06,9,0.3636,-0.0625,62.08125
"C16 H16 O10",367.0673545,"O10","CHO","Lignin",16,16,10,0,0,0,1,1,9,0.3636,0.25,53.175
"C20 H16 O7",367.0826319,"O7","CHO","Cond Hydrocarbon",20,16,7,0,0,0,0.8,0.8,13,0.5758,-0.1,63.15
"C17 H21 O7 P1",367.0956617,"P1 O7","CHOP","Lignin",17,21,7,0,0,1,1.24,1.24,8,0.28,-0.4118,72.0363
"C17 H20 O9",367.1037519,"O9","CHO","Lignin",17,20,9,0,0,0,1.18,1.18,8,0.28,-0.1176,63.6516
"C16 H20 O8 N2",367.1149963,"N2 O8","CHON","Lignin",16,20,8,2,0,0,1.25,1.25,8,0.2,0.125,56.7375
"C21 H20 O6",367.1189889,"O6","CHO","Lignin",21,20,6,0,0,0,0.95,0.95,12,0.5,-0.381,71.1585
"C18 H25 O6 P1",367.1320488,"P1 O6","CHOP","Lignin",18,25,6,0,0,1,1.39,1.39,7,0.2143,-0.7222,80.8827
"C18 H24 O8",367.1401317,"O8","CHO","Lignin",18,24,8,0,0,0,1.33,1.33,7,0.2143,-0.4444,72.9654
"C15 H29 O8 P1",367.1531908,"P1 O8","CHOP","Protein",15,29,8,0,0,1,1.93,1.93,2,-0.3,-0.8667,85.00095
"C19 H28 O7",367.1765165,"O7","CHO","Protein",19,28,7,0,0,0,1.47,1.47,6,0.1613,-0.7368,81.2988
"C16 H33 O7 P1",367.1895774,"P1 O7","CHOP","Other",16,33,7,0,0,1,2.06,2.06,1,-0.3043,-1.1875,94.14375
"C20 H32 O6",367.212895,"O6","CHO","Lipid",20,32,6,0,0,0,1.6,1.6,5,0.1176,-1,88.8
"C17 H36 O6 S1",367.2162732,"S1 O6","CHOS","Other",17,36,6,0,1,0,2.12,2.12,0,-0.3077,-1.2941,97.18185
"C17 H37 O6 P1",367.2259597,"P1 O6","CHOP","Other",17,37,6,0,0,1,2.18,2.18,0,-0.3077,-1.4706,102.2121
"C21 H36 O5",367.2493057,"O5","CHO","Lipid",21,36,5,0,0,0,1.71,1.71,4,0.0811,-1.2381,95.58585
"C22 H40 O4",367.285661,"O4","CHO","Lipid",22,40,4,0,0,0,1.82,1.82,3,0.05,-1.4545,101.75325
"C24 H48 O2",367.3584778,"O2","CHO","Lipid",24,48,2,0,0,0,2,2,1,0,-1.8333,112.54905
"C16 H19 O9 N1",368.0989906,"N1 O9","CHON","Lignin",16,19,9,1,0,0,1.19,1.19,8,0.2381,0.125,56.7375
"C13 H24 O9 N1 P1",368.1120476,"N1 P1 O9","CHONP","Carbohydrate",13,24,9,1,0,1,1.85,1.85,3,-0.5385,-0.2308,66.8778
"C13 H23 O11 N1",368.1202001,"N1 O11","CHON","Carbohydrate",13,23,11,1,0,0,1.77,1.77,3,-0.5385,0.1538,55.9167
"C17 H23 O8 N1",368.1353778,"N1 O8","CHON","Lignin",17,23,8,1,0,0,1.35,1.35,7,0.1667,-0.2353,67.00605
"C16 H23 O7 N3",368.1466392,"N3 O7","CHON","Lignin",16,23,7,3,0,0,1.44,1.44,7,0.0526,0,60.3
"C14 H27 O10 N1",368.156548,"N1 O10","CHON","Carbohydrate",14,27,10,1,0,0,1.93,1.93,2,-0.5,-0.2857,68.44245
"C18 H27 O7 N1",368.1717914,"N1 O7","CHON","Protein",18,27,7,1,0,0,1.5,1.5,6,0.1111,-0.5556,76.1346
"C15 H31 O9 N1",368.1929039,"N1 O9","CHON","Other",15,31,9,1,0,0,2.07,2.07,1,-0.4737,-0.6667,79.30095
"C16 H35 O8 N1",368.2293221,"N1 O8","CHON","Other",16,35,8,1,0,0,2.19,2.19,0,-0.4545,-1,88.8
"C10 H11 O11 P1 S1",368.9691375,"S1 P1 O11","CHO","Other",10,11,11,0,1,1,1.1,1.1,6,-0.6,1.3,23.25
"C15 H14 O11",369.0466531,"O11","CHO","Tannin",15,14,11,0,0,0,0.93,0.93,9,0.3684,0.5333,45.10095
"C16 H19 O8 P1",369.0749419,"P1 O8","CHOP","Lignin",16,19,8,0,0,1,1.19,1.19,8,0.2727,-0.1875,65.64375
"C16 H18 O10",369.0830086,"O10","CHO","Lignin",16,18,10,0,0,0,1.12,1.12,8,0.2727,0.125,56.7375
"C13 H23 O10 P1",369.0960254,"P1 O10","CHOP","Carbohydrate",13,23,10,0,0,1,1.77,1.77,3,-0.4286,-0.2308,66.8778
"C20 H18 O7",369.0982616,"O7","CHO","Lignin",20,18,7,0,0,0,0.9,0.9,12,0.5152,-0.2,66
"C17 H23 O7 P1",369.1113265,"P1 O7","CHOP","Lignin",17,23,7,0,0,1,1.35,1.35,7,0.2,-0.5294,75.3879
"C17 H22 O9",369.1193886,"O9","CHO","Lignin",17,22,9,0,0,0,1.29,1.29,7,0.2,-0.2353,67.00605
"C14 H27 O9 P1",369.1324523,"P1 O9","CHOP","Other",14,27,9,0,0,1,1.93,1.93,2,-0.4118,-0.6429,78.62265
"C21 H22 O6",369.1346401,"O6","CHO","Lignin",21,22,6,0,0,0,1.05,1.05,11,0.4444,-0.4762,73.8717
"C18 H27 O6 P1",369.1476984,"P1 O6","CHOP","Protein",18,27,6,0,0,1,1.5,1.5,6,0.1429,-0.8333,84.04905
"C18 H26 O8",369.1557736,"O8","CHO","Lignin",18,26,8,0,0,0,1.44,1.44,6,0.1429,-0.5556,76.1346
"C15 H31 O8 P1",369.1688474,"P1 O8","CHOP","Other",15,31,8,0,0,1,2.07,2.07,1,-0.4,-1,88.8
"C22 H26 O5",369.171046,"O5","CHO","Other",22,26,5,0,0,0,1.18,1.18,10,0.3846,-0.7273,81.02805
"C19 H30 O5 S1",369.1744501,"S1 O5","CHOS","Lipid",19,30,5,0,1,0,1.58,1.58,5,0.0968,-0.9474,87.3009
"C19 H31 O5 P1",369.1840964,"P1 O5","CHOP","Lipid",19,31,5,0,0,1,1.63,1.63,5,0.0968,-1.1053,91.80105
"C19 H30 O7",369.1921631,"O7","CHO","Protein",19,30,7,0,0,0,1.58,1.58,5,0.0968,-0.8421,84.29985
"C16 H35 O7 P1",369.2052154,"P1 O7","CHOP","Other",16,35,7,0,0,1,2.19,2.19,0,-0.3913,-1.3125,97.70625
"C23 H30 O4",369.2074239,"O4","CHO","Other",23,30,4,0,0,0,1.3,1.3,9,0.3333,-0.9565,87.56025
"C20 H34 O6",369.2285581,"O6","CHO","Lipid",20,34,6,0,0,0,1.7,1.7,4,0.0588,-1.1,91.65
"C21 H39 O3 P1",369.2568724,"P1 O3","CHOP","Lipid",21,39,3,0,0,1,1.86,1.86,3,0.027,-1.5714,105.0849
"C21 H38 O5",369.264948,"O5","CHO","Lipid",21,38,5,0,0,0,1.81,1.81,3,0.027,-1.3333,98.29905
"C22 H42 O4",369.3013266,"O4","CHO","Lipid",22,42,4,0,0,0,1.91,1.91,2,0,-1.5455,104.34675
"C20 H21 O4 N1 S1",370.1122499,"N1 S1 O4","CHONS","Other",20,21,4,1,1,0,1.05,1.05,11,0.4375,-0.4,71.7
"C16 H21 O9 N1",370.1146726,"N1 O9","CHON","Lignin",16,21,9,1,0,0,1.31,1.31,7,0.1429,0,60.3
"C13 H26 O9 N1 P1",370.1277087,"N1 P1 O9","CHONP","Carbohydrate",13,26,9,1,0,1,2,2,2,-0.6923,-0.3846,71.2611
"C20 H21 O6 N1",370.1298751,"N1 O6","CHON","Lignin",20,21,6,1,0,0,1.05,1.05,11,0.4375,-0.3,68.85
"C21 H25 O1 N1 S2",370.1308941,"N1 S2 O1","CHONS","Other",21,25,1,1,2,0,1.19,1.19,10,0.3714,-0.7619,82.01415
"C13 H25 O11 N1",370.1358474,"N1 O11","CHON","Carbohydrate",13,25,11,1,0,0,1.92,1.92,2,-0.6923,0,60.3
"C17 H25 O8 N1",370.1510385,"N1 O8","CHON","Protein",17,25,8,1,0,0,1.47,1.47,6,0.0833,-0.3529,70.35765
"C14 H29 O10 N1",370.1722161,"N1 O10","CHON","Carbohydrate",14,29,10,1,0,0,2.07,2.07,1,-0.625,-0.4286,72.5151
"C18 H29 O7 N1",370.1874263,"N1 O7","CHON","Protein",18,29,7,1,0,0,1.61,1.61,5,0.037,-0.6667,79.30095
"C16 H8 O9 N2",371.0161537,"N2 O9","CHON","Cond Hydrocarbon",16,8,9,2,0,0,0.5,0.5,14,0.7895,1,31.8
"C11 H16 O12 S1",371.0291331,"S1 O12","CHOS","Other",11,16,12,0,1,0,1.45,1.45,4,-0.75,0.9091,34.39065
"C24 H9 O1 N2 P1",371.0383909,"N2 P1 O1","CHONP","Other",24,9,1,2,0,1,0.38,0.38,22,0.9024,-0.0417,61.48845
"C15 H17 O9 P1",371.0541793,"P1 O9","CHOP","Lignin",15,17,9,0,0,1,1.13,1.13,8,0.2632,0.0667,58.39905
"C11 H20 O8 N2 S2",371.0591131,"N2 S2 O8","CHONS","Carbohydrate",11,20,8,2,2,0,1.82,1.82,3,-1.6667,0.5455,44.75325
"C15 H16 O11",371.0622703,"O11","CHO","Tannin",15,16,11,0,0,0,1.07,1.07,8,0.2632,0.4,48.9
"C19 H16 O8",371.0775355,"O8","CHO","Lignin",19,16,8,0,0,0,0.84,0.84,12,0.5333,0,60.3
"C16 H20 O8 S1",371.0808157,"S1 O8","CHOS","Lignin",16,20,8,0,1,0,1.25,1.25,7,0.1818,-0.125,63.8625
"C16 H21 O8 P1",371.0905853,"P1 O8","CHOP","Lignin",16,21,8,0,0,1,1.31,1.31,7,0.1818,-0.3125,69.20625
"C16 H20 O10",371.0986623,"O10","CHO","Lignin",16,20,10,0,0,0,1.25,1.25,7,0.1818,0,60.3
"C17 H24 O5 S2",371.0993981,"S2 O5","CHOS","Lignin",17,24,5,0,2,0,1.41,1.41,6,0.12,-0.5882,77.0637
"C20 H20 O7",371.1139138,"O7","CHO","Lignin",20,20,7,0,0,0,1,1,11,0.4545,-0.3,68.85
"C17 H24 O7 S1",371.1172045,"S1 O7","CHOS","Lignin",17,24,7,0,1,0,1.41,1.41,6,0.12,-0.4706,73.7121
"C12 H24 O11 N2",371.1310615,"N2 O11","CHON","Carbohydrate",12,24,11,2,0,0,2,2,2,-1.2222,0.3333,50.80095
"C17 H24 O9",371.1350504,"O9","CHO","Lignin",17,24,9,0,0,0,1.41,1.41,6,0.12,-0.3529,70.35765
"C18 H28 O4 S2",371.136059,"S2 O4","CHOS","Lipid",18,28,4,0,2,0,1.56,1.56,5,0.0714,-0.8889,85.63365
"C14 H29 O9 P1",371.14811,"P1 O9","CHOP","Other",14,29,9,0,0,1,2.07,2.07,1,-0.5294,-0.7857,82.69245
"C21 H24 O6",371.1503115,"O6","CHO","Lignin",21,24,6,0,0,0,1.14,1.14,10,0.3889,-0.5714,76.5849
"C18 H29 O6 P1",371.16337,"P1 O6","CHOP","Protein",18,29,6,0,0,1,1.61,1.61,5,0.0714,-0.9444,87.2154
"C18 H28 O8",371.171436,"O8","CHO","Protein",18,28,8,0,0,0,1.56,1.56,5,0.0714,-0.6667,79.30095
"C15 H33 O8 P1",371.1844891,"P1 O8","CHOP","Other",15,33,8,0,0,1,2.2,2.2,0,-0.5,-1.1333,92.59905
"C19 H33 O5 P1",371.1997469,"P1 O5","CHOP","Lipid",19,33,5,0,0,1,1.74,1.74,4,0.0323,-1.2105,94.79925
"C19 H32 O7",371.2078201,"O7","CHO","Protein",19,32,7,0,0,0,1.68,1.68,4,0.0323,-0.9474,87.3009
"C23 H32 O4",371.2230951,"O4","CHO","Other",23,32,4,0,0,0,1.39,1.39,8,0.2857,-1.0435,90.03975
"C20 H36 O6",371.2442043,"O6","CHO","Lipid",20,36,6,0,0,0,1.8,1.8,3,0,-1.2,94.5
"C21 H40 O5",371.2805963,"O5","CHO","Lipid",21,40,5,0,0,0,1.9,1.9,2,-0.027,-1.4286,101.0151
"C15 H19 O10 N1",372.0939351,"N1 O10","CHON","Tannin",15,19,10,1,0,0,1.27,1.27,7,0.1111,0.2667,52.69905
"C12 H24 O10 N1 P1",372.1069342,"N1 P1 O10","CHONP","Carbohydrate",12,24,10,1,0,1,2,2,2,-1,-0.0833,62.67405
"C16 H23 O9 N1",372.1303004,"N1 O9","CHON","Lignin",16,23,9,1,0,0,1.44,1.44,6,0.0476,-0.125,63.8625
"C13 H27 O11 N1",372.1514833,"N1 O11","CHON","Carbohydrate",13,27,11,1,0,0,2.08,2.08,1,-0.8462,-0.1538,64.6833
"C17 H27 O8 N1",372.1666833,"N1 O8","CHON","Protein",17,27,8,1,0,0,1.59,1.59,5,0,-0.4706,73.7121
"C18 H32 O5 N1 P1",372.1949892,"N1 P1 O5","CHONP","Lipid",18,32,5,1,0,1,1.78,1.78,4,-0.037,-1.0556,90.3846
"C18 H31 O7 N1",372.2030998,"N1 O7","CHON","Protein",18,31,7,1,0,0,1.72,1.72,4,-0.037,-0.7778,82.4673
"C21 H44 O2 N1 P1",372.3041496,"N1 P1 O2","CHONP","Lipid",21,44,2,1,0,1,2.1,2.1,1,-0.1111,-1.7619,110.51415
"C11 H18 O10 S2",373.0270736,"S2 O10","CHOS","Carbohydrate",11,18,10,0,2,0,1.64,1.64,3,-1,0.5455,44.75325
"C12 H23 O7 P1 S2",373.0551298,"S2 P1 O7","CHO","Other",12,23,7,0,2,1,1.92,1.92,2,-0.8182,-0.4167,72.17595
"C18 H14 O9",373.0567622,"O9","CHO","Cond Hydrocarbon",18,14,9,0,0,0,0.78,0.78,12,0.5556,0.2222,53.9673
"C15 H19 O9 P1",373.0698494,"P1 O9","CHOP","Lignin",15,19,9,0,0,1,1.27,1.27,7,0.1579,-0.0667,62.20095
"C15 H18 O11",373.0779302,"O11","CHO","Tannin",15,18,11,0,0,0,1.2,1.2,7,0.1579,0.2667,52.69905
"C12 H23 O11 P1",373.0909942,"P1 O11","CHOP","Carbohydrate",12,23,11,0,0,1,1.92,1.92,2,-0.8182,-0.0833,62.67405
"C19 H18 O8",373.0931795,"O8","CHO","Lignin",19,18,8,0,0,0,0.95,0.95,11,0.4667,-0.1053,63.30105
"C16 H22 O8 S1",373.0964849,"S1 O8","CHOS","Lignin",16,22,8,0,1,0,1.38,1.38,6,0.0909,-0.25,67.425
"C16 H23 O8 P1",373.1062438,"P1 O8","CHOP","Lignin",16,23,8,0,0,1,1.44,1.44,6,0.0909,-0.4375,72.76875
"C16 H22 O10",373.1143094,"O10","CHO","Lignin",16,22,10,0,0,0,1.38,1.38,6,0.0909,-0.125,63.8625
"C14 H31 O5 P1 S2",373.1280773,"S2 P1 O5","CHO","Other",14,31,5,0,2,1,2.21,2.21,0,-0.6471,-1.2143,94.90755
"C20 H22 O7",373.1295685,"O7","CHO","Lignin",20,22,7,0,0,0,1.1,1.1,10,0.3939,-0.4,71.7
"C19 H22 O6 N2",373.1406635,"N2 O6","CHON","Lignin",19,22,6,2,0,0,1.16,1.16,10,0.3571,-0.2105,66.29925
"C17 H27 O7 P1",373.1426287,"P1 O7","CHOP","Protein",17,27,7,0,0,1,1.59,1.59,5,0.04,-0.7647,82.09395
"C16 H26 O6 N2 S1",373.1441859,"N2 S1 O6","CHONS","Protein",16,26,6,2,1,0,1.62,1.62,5,-0.1,-0.375,70.9875
"C17 H26 O9",373.1506985,"O9","CHO","Protein",17,26,9,0,0,0,1.53,1.53,5,0.04,-0.4706,73.7121
"C14 H31 O9 P1",373.1637193,"P1 O9","CHOP","Other",14,31,9,0,0,1,2.21,2.21,0,-0.6471,-0.9286,86.7651
"C21 H26 O6",373.1659521,"O6","CHO","Lignin",21,26,6,0,0,0,1.24,1.24,9,0.3333,-0.6667,79.30095
"C20 H26 O5 N2",373.1771582,"N2 O5","CHON","Other",20,26,5,2,0,0,1.3,1.3,9,0.2903,-0.5,74.55
"C18 H31 O6 P1",373.1790133,"P1 O6","CHOP","Protein",18,31,6,0,0,1,1.72,1.72,4,0,-1.0556,90.3846
"C18 H30 O8",373.1870793,"O8","CHO","Protein",18,30,8,0,0,0,1.67,1.67,4,0,-0.7778,82.4673
"C19 H34 O7",373.2234702,"O7","CHO","Protein",19,34,7,0,0,0,1.79,1.79,3,-0.0323,-1.0526,90.2991
"C20 H39 O4 P1",373.2517824,"P1 O4","CHOP","Lipid",20,39,4,0,0,1,1.95,1.95,2,-0.0588,-1.55,104.475
"C20 H38 O6",373.2598477,"O6","CHO","Lipid",20,38,6,0,0,0,1.9,1.9,2,-0.0588,-1.3,97.35
"C21 H43 O3 P1",373.2881798,"P1 O3","CHOP","Lipid",21,43,3,0,0,1,2.05,2.05,1,-0.0811,-1.7619,110.51415
"C20 H42 O4 N2",373.3075191,"N2 O4","CHON","Lipid",20,42,4,2,0,0,2.1,2.1,1,-0.1875,-1.4,100.2
"C19 H9 O2 N3 S2",374.0064869,"N3 S2 O2","CHONS","Other",19,9,2,3,2,0,0.47,0.47,17,0.8462,0.4211,48.29865
"C18 H17 O8 N1",374.0884226,"N1 O8","CHON","Lignin",18,17,8,1,0,0,0.94,0.94,11,0.4615,0.1111,57.13365
"C15 H21 O10 N1",374.1095806,"N1 O10","CHON","Amino Sugar",15,21,10,1,0,0,1.4,1.4,6,0,0.1333,56.50095
"C19 H21 O7 N1",374.1248121,"N1 O7","CHON","Lignin",19,21,7,1,0,0,1.11,1.11,10,0.3793,-0.2105,66.29925
"C16 H25 O9 N1",374.1459596,"N1 O9","CHON","Amino Sugar",16,25,9,1,0,0,1.56,1.56,5,-0.0476,-0.25,67.425
"C20 H25 O6 N1",374.1611639,"N1 O6","CHON","Lignin",20,25,6,1,0,0,1.25,1.25,9,0.3125,-0.5,74.55
"C17 H29 O8 N1",374.1823369,"N1 O8","CHON","Protein",17,29,8,1,0,0,1.71,1.71,4,-0.0833,-0.5882,77.0637
"C18 H33 O7 N1",374.2187077,"N1 O7","CHON","Protein",18,33,7,1,0,0,1.83,1.83,3,-0.1111,-0.8889,85.63365
