"","fticrWEOM_processed_60846_2_BTM_rep1_aq2","fticrWEOM_processed_60846_5_BTM_rep1_aq2"
"C10 H19 O5 N1",1,1
"C8 H10 O8",1,0
"C12 H10 O5",1,1
"C9 H14 O7",1,1
"C13 H14 O4",1,1
"C10 H18 O4 S1",1,0
"C10 H18 O6",1,1
"C14 H18 O3",1,1
"C11 H22 O5",1,0
"C15 H22 O2",1,1
"C8 H13 O7 N1",1,1
"C9 H17 O6 N1",1,0
"C14 H21 O2 N1",1,1
"C11 H8 O6",1,1
"C12 H12 O5",1,1
"C9 H16 O5 S1",1,0
"C11 H12 O4 N2",1,0
"C13 H16 O4",1,1
"C14 H20 O3",1,1
"C11 H24 O3 S1",1,0
"C15 H24 O2",1,1
"C11 H11 O5 N1",1,1
"C8 H15 O7 N1",1,1
"C12 H15 O4 N1",1,1
"C9 H19 O4 N1 S1",1,0
"C11 H10 O6",1,1
"C12 H14 O5",1,1
"C13 H18 O4",1,1
"C14 H22 O3",1,1
"C7 H13 O8 N1",1,1
"C11 H13 O5 N1",1,1
"C8 H17 O7 N1",1,1
"C13 H4 O1 S2",1,1
"C10 H8 O7",1,1
"C14 H8 O4",1,1
"C11 H12 O6",1,1
"C12 H16 O5",1,1
"C13 H20 O4",1,1
"C12 H20 O3 N2",1,0
"C14 H24 O3",1,1
"C15 H28 O2",1,0
"C11 H15 O5 N1",1,1
"C12 H19 O4 N1",1,0
"C10 H10 O7",1,1
"C14 H10 O4",1,1
"C11 H14 O4 S1",1,1
"C11 H14 O6",1,1
"C10 H14 O5 N2",1,0
"C8 H19 O6 P1",1,1
"C12 H18 O5",1,1
"C11 H18 O4 N2",1,1
"C13 H22 O4",1,1
"C14 H26 O3",1,1
"C15 H30 O2",1,1
"C10 H13 O6 N1",1,1
"C11 H17 O5 N1",1,0
"C12 H21 O4 N1",1,1
"C13 H25 O3 N1",1,1
"C10 H12 O7",1,1
"C11 H16 O6",1,1
"C10 H16 O5 N2",1,0
"C12 H20 O5",1,1
"C13 H24 O4",1,1
"C12 H24 O3 N2",1,0
"C14 H28 O3",1,1
"C10 H15 O6 N1",1,1
"C11 H19 O5 N1",1,0
"C12 H23 O4 N1",1,0
"C9 H14 O2 N2 S2",1,0
"C13 H10 O5",1,1
"C10 H14 O5 S1",1,1
"C10 H14 O7",1,1
"C14 H14 O4",1,1
"C11 H18 O6",1,1
"C10 H18 O5 N2",1,0
"C12 H22 O5",1,1
"C13 H26 O4",1,1
"C10 H17 O6 N1",1,0
"C11 H21 O5 N1",1,0
"C13 H12 O5",1,1
"C10 H16 O5 S1",1,1
"C10 H16 O7",1,1
"C14 H16 O4",1,1
"C11 H20 O6",1,1
"C15 H20 O3",1,1
"C12 H24 O3 S1",1,0
"C12 H24 O5",1,0
"C16 H24 O2",1,1
"C10 H4 O1 N1 P1 S2",1,1
"C9 H15 O7 N1",1,1
"C13 H15 O4 N1",1,1
"C10 H19 O6 N1",1,1
"C14 H19 O3 N1",1,0
"C10 H7 O2 N2 P1 S1",1,0
"C12 H10 O6",1,1
"C9 H14 O8",1,0
"C13 H14 O5",1,1
"C10 H18 O5 S1",1,0
"C10 H18 O7",1,0
"C14 H18 O4",1,1
"C15 H22 O3",1,1
"C12 H26 O3 S1",1,0
"C16 H26 O2",1,0
"C9 H17 O7 N1",1,1
"C14 H21 O3 N1",1,1
"C12 H12 O6",1,1
"C9 H16 O6 S1",1,1
"C13 H16 O5",1,1
"C10 H20 O5 S1",1,1
"C10 H20 O7",1,1
"C14 H20 O4",1,1
"C11 H24 O4 S1",1,0
"C15 H24 O3",1,1
"C5 H8 O5 N3 P1 S1",1,1
"C8 H15 O8 N1",1,1
"C9 H19 O3 N1 S2",1,0
"C12 H15 O5 N1",1,1
"C9 H19 O7 N1",1,0
"C14 H6 O1 S2",1,1
"C11 H10 O7",1,1
"C12 H14 O6",1,1
"C9 H18 O6 S1",1,1
"C16 H14 O3",1,0
"C13 H18 O5",1,1
"C14 H22 O4",1,1
"C13 H22 O3 N2",1,0
"C15 H26 O3",1,0
"C16 H30 O2",1,0
"C8 H17 O8 N1",1,1
"C12 H17 O5 N1",1,1
"C13 H21 O4 N1",1,0
"C11 H12 O5 S1",1,1
"C11 H12 O7",1,1
"C10 H12 O6 N2",1,1
"C15 H12 O4",1,1
"C12 H16 O4 S1",1,1
"C12 H16 O6",1,1
"C11 H16 O5 N2",1,0
"C13 H20 O5",1,1
"C14 H24 O4",1,1
"C15 H28 O3",1,0
"C16 H32 O2",1,1
"C11 H15 O6 N1",1,1
"C12 H19 O5 N1",1,0
"C13 H23 O4 N1",1,0
"C14 H27 O3 N1",1,0
"C14 H10 O5",1,1
"C11 H14 O5 S1",1,1
"C11 H14 O7",1,1
"C15 H14 O4",1,1
"C7 H18 O8 N2",1,0
"C12 H18 O6",1,1
"C11 H18 O5 N2",1,0
"C13 H22 O5",1,1
"C14 H26 O4",1,1
"C15 H30 O3",1,1
"C11 H17 O6 N1",1,1
"C12 H21 O5 N1",1,1
"C13 H25 O4 N1",1,0
"C14 H29 O3 N1",1,1
"C10 H12 O6 S1",1,1
"C10 H12 O8",1,1
"C14 H12 O5",1,1
"C11 H16 O7",1,1
"C10 H16 O6 N2",1,0
"C15 H16 O4",1,1
"C12 H20 O6",1,1
"C11 H20 O5 N2",1,1
"C13 H24 O5",1,1
"C14 H28 O4",1,1
"C10 H15 O7 N1",1,1
"C11 H19 O6 N1",1,1
"C12 H23 O5 N1",1,0
"C8 H11 O4 N2 P1 S1",1,0
"C13 H10 O6",1,1
"C10 H14 O6 S1",1,1
"C10 H14 O8",1,1
"C14 H14 O5",1,1
"C11 H18 O7",1,1
"C15 H18 O4",1,1
"C14 H18 O3 N2",1,0
"C12 H22 O6",1,1
"C16 H22 O3",1,1
"C13 H26 O5",1,1
"C11 H6 O1 N1 P1 S2",1,1
"C9 H13 O8 N1",1,0
"C10 H17 O7 N1",1,1
"C11 H21 O6 N1",1,1
"C10 H21 O5 N3",1,1
"C15 H21 O3 N1",1,0
"C12 H25 O5 N1",1,0
"C12 H9 O1 P1 S2",1,0
"C13 H12 O6",1,1
"C10 H16 O6 S1",1,1
"C14 H16 O5",1,1
"C11 H20 O7",1,1
"C15 H20 O4",1,1
"C12 H25 O4 P1",1,0
"C12 H24 O6",1,0
"C16 H24 O3",1,1
"C9 H15 O8 N1",1,1
"C13 H15 O5 N1",1,1
"C10 H19 O7 N1",1,1
"C14 H19 O4 N1",1,0
"C12 H27 O5 N1",1,0
"C12 H10 O7",1,1
"C13 H14 O6",1,1
"C10 H18 O6 S1",1,1
"C14 H18 O5",1,1
"C13 H18 O4 N2",1,0
"C15 H22 O4",1,1
"C12 H26 O4 S1",1,1
"C6 H10 O5 N3 P1 S1",1,1
"C9 H17 O8 N1",1,1
"C13 H17 O5 N1",1,1
"C10 H21 O7 N1",1,1
"C14 H21 O4 N1",1,1
"C15 H8 O1 S2",1,1
"C12 H12 O7",1,1
"C16 H12 O4",1,1
"C8 H16 O8 N2",1,0
"C13 H16 O6",1,1
"C10 H20 O6 S1",1,1
"C12 H16 O5 N2",1,0
"C14 H20 O5",1,1
"C10 H24 O6 N2",1,0
"C15 H24 O4",1,1
"C16 H28 O3",1,0
"C17 H32 O2",1,0
"C9 H19 O8 N1",1,0
"C13 H19 O5 N1",1,1
"C14 H23 O4 N1",1,0
"C15 H10 O5",1,1
"C12 H14 O7",1,1
"C16 H14 O4",1,1
"C13 H18 O4 S1",1,0
"C13 H19 O4 P1",1,1
"C8 H18 O8 N2",1,0
"C13 H18 O6",1,1
"C12 H18 O5 N2",1,0
"C17 H18 O3",1,0
"C14 H23 O3 P1",1,1
"C14 H22 O5",1,1
"C15 H26 O4",1,1
"C16 H30 O3",1,1
"C17 H34 O2",1,0
"C12 H17 O6 N1",1,1
"C14 H25 O4 N1",1,0
"C15 H29 O3 N1",1,0
"C11 H12 O8",1,1
"C15 H12 O5",1,1
"C12 H16 O5 S1",1,1
"C12 H16 O7",1,1
"C11 H16 O6 N2",1,0
"C16 H16 O4",1,1
"C15 H16 O3 N2",1,0
"C13 H20 O6",1,1
"C12 H20 O5 N2",1,0
"C14 H24 O5",1,1
"C15 H28 O4",1,1
"C16 H32 O3",1,1
"C11 H15 O7 N1",1,1
"C12 H19 O6 N1",1,1
"C13 H23 O5 N1",1,1
"C14 H27 O4 N1",1,0
"C11 H14 O8",1,1
"C15 H14 O5",1,1
"C12 H18 O7",1,1
"C11 H18 O6 N2",1,0
"C16 H18 O4",1,1
"C13 H22 O6",1,1
"C12 H22 O5 N2",1,0
"C17 H22 O3",1,1
"C14 H26 O5",1,1
"C15 H30 O4",1,1
"C11 H17 O7 N1",1,1
"C12 H21 O6 N1",1,1
"C13 H25 O5 N1",1,0
"C14 H12 O6",1,1
"C11 H16 O8",1,1
"C15 H16 O5",1,1
"C14 H16 O4 N2",1,1
"C12 H20 O7",1,1
"C16 H20 O4",1,1
"C13 H24 O6",1,1
"C17 H24 O3",1,1
"C14 H28 O3 S1",1,1
"C14 H28 O5",1,0
"C12 H8 O1 N1 P1 S2",1,1
"C10 H15 O8 N1",1,1
"C11 H19 O7 N1",1,1
"C15 H19 O4 N1",1,0
"C13 H10 O7",1,1
"C14 H14 O6",1,1
"C11 H18 O8",1,1
"C15 H18 O5",1,1
"C14 H18 O4 N2",1,0
"C12 H22 O7",1,1
"C16 H22 O4",1,1
"C17 H26 O3",1,1
"C14 H30 O3 S1",1,1
"C9 H13 O9 N1",1,1
"C8 H13 O8 N3",1,1
"C10 H17 O8 N1",1,1
"C11 H21 O7 N1",1,1
"C15 H21 O4 N1",1,0
"C12 H25 O6 N1",1,0
"C13 H29 O5 N1",1,0
"C13 H12 O7",1,1
"C10 H16 O7 S1",1,1
"C17 H12 O4",1,0
"C14 H16 O6",1,1
"C13 H16 O5 N2",1,1
"C18 H16 O3",1,0
"C15 H20 O5",1,1
"C12 H24 O5 S1",1,1
"C11 H24 O6 N2",1,0
"C16 H24 O4",1,1
"C13 H28 O4 S1",1,1
"C18 H32 O2",1,0
"C10 H20 O2 N1 P1 S2",1,0
"C9 H15 O9 N1",1,1
"C13 H15 O6 N1",1,1
"C10 H19 O8 N1",1,1
"C14 H19 O5 N1",1,1
"C11 H23 O7 N1",1,1
"C13 H14 O7",1,1
"C10 H18 O7 S1",1,1
"C14 H18 O6",1,1
"C18 H18 O3",1,0
"C15 H22 O3 S1",1,0
"C15 H22 O5",1,1
"C12 H26 O5 S1",1,1
"C16 H26 O4",1,1
"C18 H34 O2",1,1
"C13 H17 O6 N1",1,1
"C10 H21 O8 N1",1,1
"C14 H21 O5 N1",1,1
"C12 H12 O8",1,1
"C16 H12 O5",1,1
"C13 H16 O7",1,1
"C12 H16 O6 N2",1,0
"C17 H16 O4",1,1
"C14 H20 O4 S1",1,0
"C14 H20 O6",1,1
"C13 H20 O5 N2",1,1
"C15 H24 O3 S1",1,1
"C15 H24 O5",1,1
"C16 H28 O4",1,1
"C17 H32 O3",1,0
"C18 H36 O2",1,1
"C9 H19 O9 N1",1,0
"C13 H19 O6 N1",1,1
"C14 H23 O5 N1",1,0
"C13 H23 O4 N3",1,0
"C12 H14 O8",1,1
"C16 H14 O5",1,1
"C13 H18 O5 S1",1,1
"C13 H18 O7",1,1
"C14 H22 O2 S2",1,0
"C12 H18 O6 N2",1,0
"C17 H18 O4",1,1
"C14 H22 O4 S1",1,0
"C16 H18 O3 N2",1,0
"C14 H23 O4 P1",1,1
"C14 H22 O6",1,1
"C13 H22 O5 N2",1,0
"C15 H26 O5",1,1
"C16 H30 O4",1,1
"C17 H34 O3",1,0
"C12 H17 O7 N1",1,1
"C13 H21 O6 N1",1,0
"C14 H25 O5 N1",1,0
"C16 H33 O3 N1",1,1
"C15 H12 O6",1,1
"C12 H16 O8",1,1
"C11 H16 O7 N2",1,0
"C16 H16 O5",1,1
"C13 H20 O5 S1",1,0
"C13 H20 O7",1,1
"C12 H20 O6 N2",1,0
"C17 H20 O4",1,1
"C14 H24 O6",1,1
"C15 H28 O5",1,1
"C16 H32 O4",1,1
"C12 H19 O7 N1",1,1
"C13 H23 O6 N1",1,1
"C11 H14 O7 S1",1,1
"C15 H14 O6",1,1
"C12 H18 O8",1,1
"C16 H18 O5",1,1
"C13 H22 O7",1,1
"C17 H22 O4",1,1
"C14 H26 O6",1,1
"C18 H26 O3",1,1
"C15 H30 O5",1,0
"C13 H10 O1 N1 P1 S2",1,1
"C11 H17 O8 N1",1,1
"C12 H21 O7 N1",1,1
"C16 H21 O4 N1",1,1
"C13 H25 O6 N1",1,0
"C14 H29 O5 N1",1,0
"C14 H12 O7",1,1
"C15 H16 O6",1,1
"C14 H16 O5 N2",1,1
"C19 H16 O3",1,0
"C12 H20 O8",1,1
"C16 H20 O5",1,1
"C13 H24 O7",1,1
"C17 H24 O4",1,1
"C14 H28 O4 S1",1,1
"C14 H28 O6",1,0
"C15 H32 O3 S1",1,1
"C8 H11 O9 N3",1,0
"C10 H15 O9 N1",1,1
"C9 H15 O8 N3",1,0
"C11 H19 O8 N1",1,1
"C15 H19 O5 N1",1,1
"C12 H23 O7 N1",1,1
"C16 H23 O4 N1",1,0
"C13 H27 O6 N1",1,0
"C14 H31 O5 N1",1,1
"C14 H14 O7",1,1
"C15 H18 O6",1,1
"C12 H22 O6 S1",1,0
"C14 H18 O5 N2",1,1
"C19 H18 O3",1,0
"C12 H22 O8",1,1
"C11 H22 O7 N2",1,0
"C16 H22 O5",1,1
"C13 H26 O5 S1",1,1
"C17 H26 O4",1,1
"C14 H30 O4 S1",1,1
"C10 H18 O3 N1 P1 S2",1,0
"C10 H17 O9 N1",1,1
"C14 H17 O6 N1",1,1
"C11 H21 O6 N1 S1",1,1
"C11 H21 O8 N1",1,1
"C15 H21 O5 N1",1,1
"C12 H25 O7 N1",1,1
"C16 H25 O4 N1",1,0
"C13 H12 O8",1,1
"C17 H12 O5",1,1
"C14 H16 O7",1,1
"C18 H16 O4",1,0
"C15 H20 O6",1,1
"C12 H24 O6 S1",1,0
"C14 H20 O5 N2",1,0
"C13 H29 O1 P1 S2",1,0
"C16 H24 O3 S1",1,1
"C12 H24 O8",1,1
"C16 H24 O5",1,1
"C12 H28 O6 N2",1,0
"C17 H28 O4",1,1
"C18 H32 O3",1,0
"C10 H19 O9 N1",1,1
"C14 H19 O6 N1",1,1
"C13 H19 O5 N3",1,0
"C11 H23 O8 N1",1,1
"C13 H14 O8",1,1
"C17 H14 O5",1,1
"C14 H18 O7",1,1
"C13 H19 O4 N2 P1",1,0
"C13 H18 O6 N2",1,0
"C18 H18 O4",1,1
"C15 H22 O4 S1",1,1
"C15 H22 O6",1,1
"C14 H22 O5 N2",1,1
"C16 H26 O3 S1",1,1
"C16 H26 O5",1,1
"C17 H30 O4",1,1
"C18 H34 O3",1,1
"C13 H17 O7 N1",1,1
"C12 H17 O6 N3",1,0
"C10 H21 O9 N1",1,1
"C14 H21 O6 N1",1,1
"C11 H26 O6 N1 P1",1,0
"C15 H25 O5 N1",1,0
"C14 H25 O4 N3",1,0
"C16 H12 O6",1,1
"C13 H16 O8",1,1
"C17 H16 O5",1,1
"C14 H20 O5 S1",1,1
"C14 H20 O7",1,1
"C13 H20 O6 N2",1,0
"C18 H20 O4",1,1
"C15 H25 O4 P1",1,0
"C15 H24 O6",1,1
"C14 H24 O5 N2",1,0
"C16 H28 O5",1,1
"C17 H32 O4",1,1
"C18 H36 O3",1,1
"C13 H19 O7 N1",1,1
"C12 H19 O6 N3",1,0
"C14 H23 O6 N1",1,1
"C18 H24 O1 N1 P1",1,0
"C13 H23 O5 N3",1,0
"C15 H27 O5 N1",1,1
"C16 H14 O6",1,1
"C13 H18 O8",1,1
"C12 H18 O7 N2",1,0
"C17 H18 O5",1,1
"C14 H22 O7",1,1
"C13 H22 O6 N2",1,0
"C18 H22 O4",1,1
"C15 H26 O6",1,1
"C16 H30 O5",1,1
"C17 H34 O4",1,1
"C12 H17 O8 N1",1,1
"C13 H21 O7 N1",1,1
"C14 H25 O6 N1",1,0
"C15 H29 O5 N1",1,0
"C15 H12 O7",1,1
"C12 H16 O9",1,1
"C16 H16 O6",1,1
"C13 H20 O8",1,1
"C12 H20 O7 N2",1,0
"C17 H20 O5",1,1
"C14 H24 O7",1,1
"C18 H24 O4",1,1
"C15 H28 O6",1,1
"C16 H32 O3 S1",1,0
"C16 H32 O5",1,1
"C12 H19 O8 N1",1,1
"C16 H19 O5 N1",1,1
"C13 H23 O7 N1",1,1
"C15 H31 O5 N1",1,0
"C14 H10 O8",1,1
"C15 H14 O7",1,1
"C12 H18 O9",1,1
"C16 H18 O6",1,1
"C13 H22 O8",1,1
"C17 H22 O5",1,1
"C14 H26 O7",1,1
"C18 H26 O4",1,1
"C15 H30 O4 S1",1,1
"C16 H34 O3 S1",1,1
"C11 H17 O9 N1",1,1
"C15 H17 O6 N1",1,1
"C12 H21 O8 N1",1,1
"C16 H21 O5 N1",1,1
"C13 H25 O7 N1",1,1
"C14 H30 O4 N1 P1",1,0
"C14 H29 O6 N1",1,1
"C15 H33 O5 N1",1,0
"C14 H12 O8",1,1
"C15 H16 O7",1,1
"C16 H20 O6",1,1
"C13 H24 O8",1,1
"C17 H24 O5",1,1
"C14 H28 O5 S1",1,1
"C18 H28 O4",1,1
"C15 H32 O4 S1",1,1
"C13 H12 O2 N1 P1 S2",1,0
"C11 H19 O9 N1",1,1
"C12 H23 O6 N1 S1",1,1
"C12 H23 O8 N1",1,1
"C13 H27 O7 N1",1,0
"C14 H31 O6 N1",1,1
"C14 H14 O8",1,1
"C15 H18 O7",1,1
"C12 H22 O7 S1",1,1
"C14 H18 O6 N2",1,1
"C19 H18 O4",1,0
"C18 H19 O1 N2 P1",1,0
"C16 H22 O6",1,1
"C15 H22 O5 N2",1,0
"C17 H26 O3 S1",1,1
"C17 H26 O5",1,1
"C14 H30 O5 S1",1,1
"C18 H30 O4",1,1
"C14 H17 O7 N1",1,1
"C11 H21 O9 N1",1,1
"C15 H21 O6 N1",1,1
"C12 H25 O8 N1",1,0
"C13 H12 O9",1,1
"C14 H16 O8",1,1
"C11 H21 O8 P1",1,1
"C18 H16 O5",1,1
"C15 H20 O7",1,1
"C14 H20 O6 N2",1,0
"C19 H20 O4",1,1
"C16 H24 O4 S1",1,1
"C16 H24 O6",1,1
"C15 H24 O5 N2",1,0
"C17 H28 O3 S1",1,1
"C17 H28 O5",1,1
"C18 H32 O4",1,1
"C18 H19 O2 N1 S1",1,0
"C14 H19 O7 N1",1,1
"C13 H19 O6 N3",1,0
"C11 H23 O9 N1",1,0
"C15 H23 O6 N1",1,1
"C15 H27 O4 N3",1,0
"C13 H14 O5 S2",1,0
"C13 H15 O7 P1",1,0
"C13 H14 O9",1,1
"C14 H18 O4 S2",1,0
"C17 H14 O6",1,1
"C14 H18 O8",1,1
"C18 H18 O5",1,1
"C15 H22 O5 S1",1,1
"C15 H22 O7",1,1
"C14 H22 O6 N2",1,1
"C19 H22 O4",1,1
"C16 H26 O4 S1",1,1
"C16 H26 O6",1,1
"C17 H30 O5",1,1
"C18 H34 O4",1,1
